ID,Name,Collector [required],Creator,Date [required],Description [required],Identifier,Language,Relation,Rights,Subject,Title [required],Archive-It Metadata Page
12181,University of Georgia Student Life,Hargrett Rare Book & Manuscript Library,NO DATA OF THIS TYPE,Captured 2019-,This collection contains websites related to the University of Georgia's Division of Student Affairs and student organizations at UGA.,[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,University of Georgia Student Life,[redacted - URL to collection's metadata page]
12262,Political Observers,Richard B. Russell Library for Political Research and Studies,NO DATA OF THIS TYPE,Captured 2019-,"This collections contains websites created by journalists, academics, and other political observers.",[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,Political Observers,[redacted - URL to collection's metadata page]
12263,Activists and Advocates,Richard B. Russell Library for Political Research and Studies,NO DATA OF THIS TYPE,Captured 2019-,This collections contains websites created by organizations and individuals engaged in sociopolitical activism and advocacy in Georgia.,[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,Activists and Advocates,[redacted - URL to collection's metadata page]
12264,Georgia Disability History Archive,Richard B. Russell Library for Political Research and Studies,NO DATA OF THIS TYPE,Captured 2019-,"The Georgia Disability History Archive seeks to document the vital and transformative work undertaken by disability activists, advocates, and organizations and, crucially, the experiences of people with disabilities over the past 100-plus years in the state of Georgia. Major collecting areas include, but are not limited to: accessibility, activism and social justice, citizen advocacy, independent and community living, self-advocacy, education, employment, recreation, culture and pride.",[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,Georgia Disability History Archive,[redacted - URL to collection's metadata page]
12265,Georgia Politics,Richard B. Russell Library for Political Research and Studies,NO DATA OF THIS TYPE,Captured 2019-,"This collection contains websites documenting political activity in the state of Georgia including those created by political candidates, elected officials, and political parties.",[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,Georgia Politics,[redacted - URL to collection's metadata page]
12907,University of Georgia Athletics,Hargrett Rare Book & Manuscript Library,NO DATA OF THIS TYPE,Captured 2019-,This collection contains websites related to the athletic programs at the University of Georgia.,[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,University of Georgia Athletics,[redacted - URL to collection's metadata page]
12912,University of Georgia Administration,Hargrett Rare Book & Manuscript Library,NO DATA OF THIS TYPE,Captured 2019-,"This collection contains websites related to the University of Georgia's administration, including the Office of the President, the Provost, and other leadership roles.",[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,University of Georgia Administration,[redacted - URL to collection's metadata page]
12939,Business,Richard B. Russell Library for Political Research and Studies,NO DATA OF THIS TYPE,Captured 2019-,This collection contains websites documenting business and private enterprise in the state of Georgia.,[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,Business,[redacted - URL to collection's metadata page]
12944,Legal,Richard B. Russell Library for Political Research and Studies,NO DATA OF THIS TYPE,Captured 2019-,"This collections contains websites created by attorneys, judges, and organizations working on legal issues in the state of Georgia.",[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,Legal,[redacted - URL to collection's metadata page]
15678,Georgia Government Publications,Map and Government Information Library,NO DATA OF THIS TYPE,Captured 2022-,"The University of Georgia Libraries is the official depository for Georgia state publications and, as such, is responsible for their collection, preservation, and accessibility. The Georgia Government Publications Website Archive includes websites of Georgia state agencies and organizations, with an emphasis on those of the executive branch. Select publications included in these websites are also available in the Digital Library of Georgia, Georgia Government Publications collection.",[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,Georgia Government Publications Website Archive,[redacted - URL to collection's metadata page]
16951,University of Georgia Academics,Hargrett Rare Book & Manuscript Library,NO DATA OF THIS TYPE,Captured 2021-,This collection contains websites related research and instruction at the University of Georgia.,[redacted - internal use],NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,NO DATA OF THIS TYPE,University of Georgia Academics,[redacted - URL to collection's metadata page]
